id,name,LATITUDE,LONGITUDE,areaLegal,sojaAreaPlantada,sojaPercent,SojaRisco90,SojaRPC45,SojaRPC85,milhoAreaPlantaada,milhoPercent,MilhoRisco90,MilhoRPC45,MilhoRPC85,safrinhaAreaPlantada,safrinhaPercent,SafrinhaRisco90,SafrinhaRPC45,SafrinhaRPC85,arrozAreaPlantada,arrozPercent,ArrozRisco90,ArrozRPC45,ArrozRPC85,feijaoAreaPlantada,feijaoPercent,FeijaoRisco90,FeijaoRPC45,FeijaoRPC85,feijao2AreaPlantada,feijao2Percent,Feijao2Risco90,Feijao2RPC45,Feijao2RPC85,canaAreaPlantada,canaPercent,CanaRisco90,CanaRPC45,CanaRPC85,algodaoAreaPlantada,algodaoPercent,AlgodaoRisco90,AlgodaoRPC45,AlgodaoRPC85,trigoAreaPlantada,trigoPercent,TrigoRisco90,TrigoRPC45,TrigoRPC85,sorgoAreaPlantada,sorgoPercent,SorgoRisco90,SorgoRPC45,SorgoRPC85,feijaoCaupiAreaPlantada,feijaoCaupiPercent,FeijaoCaupiRisco90,FeijaoCaupiRPC45,FeijaoCaupiRPC85
5200050,Abadia de Goiás,-16.757326,-49.441156,11643,750,6.44,BAIXO,BAIXO,BAIXO,220,1.89,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,100,0.86,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
3100104,Abadia dos Dourados,-18.483101,-47.391623,68242,1100,1.61,BAIXO,BAIXO,BAIXO,2100,3.08,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,ALTO,ALTO,40,0.06,BAIXO,BAIXO,BAIXO,60,0.09,BAIXO,BAIXO,BAIXO,0,0,BAIXO,ALTO,ALTO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,25,0.04,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
5200100,Abadiânia,-16.196973,-48.705672,87708,10000,11.40,BAIXO,BAIXO,BAIXO,2500,2.85,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO,20,0.02,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
3100203,Abaeté,-19.155125,-45.444413,94020,0,0.00,BAIXO,ALTO,ALTO,2000,2.13,BAIXO,BAIXO,BAIXO,0,0.00,ALTO,ALTO,ALTO,20,0.02,BAIXO,BAIXO,ALTO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,ALTO,ALTO,240,0.26,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,ALTO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
1500107,Abaetetuba,-1.721828,-48.878843,5087,0,0.00,BAIXO,BAIXO,BAIXO,150,2.95,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,20,0.39,BAIXO,BAIXO,BAIXO,100,1.97,BAIXO,BAIXO,BAIXO,0,0,BAIXO,ALTO,ALTO,100,1.97,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
2300101,Abaiara,-7.345879,-39.04159,10511,0,0.00,BAIXO,ALTO,ALTO,2244,21.35,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,56,0.53,BAIXO,BAIXO,ALTO,546,5.19,BAIXO,BAIXO,ALTO,0,0,BAIXO,ALTO,ALTO,2,0.02,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,ALTO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
2900108,Abaíra,-13.24883,-41.661869,4093,0,0.00,ALTO,ALTO,ALTO,140,3.42,ALTO,ALTO,ALTO,5,0.12,ALTO,ALTO,ALTO,15,0.37,ALTO,ALTO,ALTO,75,1.83,ALTO,ALTO,ALTO,0,0,BAIXO,BAIXO,BAIXO,1600,39.09,BAIXO,ALTO,ALTO,0,0.00,BAIXO,ALTO,ALTO,0,0.00,ALTO,ALTO,ALTO,0,0.00,BAIXO,ALTO,ALTO,0,0,ALTO,ALTO,ALTO
2900207,Abaré,-8.720734,-39.116178,15528,0,0.00,ALTO,ALTO,ALTO,300,1.93,ALTO,ALTO,ALTO,0,0.00,ALTO,ALTO,ALTO,0,0.00,ALTO,ALTO,ALTO,300,1.93,ALTO,ALTO,ALTO,0,0,BAIXO,BAIXO,BAIXO,0,0.00,ALTO,ALTO,ALTO,0,0.00,ALTO,ALTO,ALTO,0,0.00,ALTO,ALTO,ALTO,0,0.00,ALTO,ALTO,ALTO,0,0,ALTO,ALTO,ALTO
4100103,Abatiá,-23.304863,-50.313281,20350,7100,34.89,BAIXO,ALTO,ALTO,390,1.92,BAIXO,ALTO,BAIXO,4550,22.36,ALTO,ALTO,ALTO,34,0.17,BAIXO,ALTO,ALTO,120,0.59,BAIXO,ALTO,ALTO,0,0,ALTO,ALTO,ALTO,800,3.93,BAIXO,BAIXO,BAIXO,242,1.19,BAIXO,BAIXO,BAIXO,1300,6.39,ALTO,ALTO,ALTO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,ALTO,ALTO
4200051,Abdon Batista,-27.612628,-51.023275,17286,2500,14.46,BAIXO,ALTO,ALTO,2600,15.04,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,500,2.89,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,15,0.09,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
1500131,Abel Figueiredo,-4.953327,-48.393285,39422,0,0.00,BAIXO,BAIXO,BAIXO,1350,3.42,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,175,0.44,BAIXO,BAIXO,BAIXO,40,0.10,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
4200101,Abelardo Luz,-26.571585,-52.322881,73234,34500,47.11,BAIXO,ALTO,ALTO,12200,16.66,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,100,0.14,BAIXO,BAIXO,BAIXO,2500,3.41,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,4550,6.21,BAIXO,BAIXO,BAIXO,0,0.00,BAIXO,BAIXO,BAIXO,0,0,BAIXO,BAIXO,BAIXO
